Tiempo,,Velocidad,,R,,T,
1,10485074644,44,8152829888445,23896,33,10476,71
1,1149253733059,45,1343794439499,24567,5,10540,39
1,1250000001717,45,4527831979695,23644,81,10635,91
1,1350746270376,45,7704659117263,24064,1,10508,55
1,1451492539034,46,873993102191,24064,1,10540,39
1,1552238807693,46,4035551851382,24315,53,10540,39
1,1652985076351,46,7189053973768,24147,85,10413,3
1,1753731345009,47,334218795351,24315,53,10444,87
1,1854477613668,47,3470766384184,23980,17,10285,67
1,1955223882326,47,6598417575292,23812,49,10444,87
1,2055970150985,47,971689399551,23896,33,10604,7
1,2156716419643,48,2825918088265,24064,1,10381,19
1,2257462688302,48,5925213138277,23393,29,10667,75
1,235820895696,48,9014503296188,24147,85,10604,7
1,2458955225618,49,209351360312,23812,49,10508,55
1,2559701494277,49,5161970015134,24902,41,10508,55
1,2660447762935,49,8219599427635,24650,89,10540,39
1,2761194031594,50,1266129699668,24483,21,10476,71
1,2861940300252,50,430128967815,24986,25,10508,55
1,2962686568911,50,7324809221996,25153,93,10413,3
1,3063432837569,51,336419226165,25237,77,10540,39
1,3164179106227,51,3335851645611,26076,17,10413,3
1,3264925374886,51,6322839519141,25740,81,10253,83
1,3365671643544,51,9297116993177,24818,57,10253,83
1,3466417912203,52,2258419345415,25237,77,10317,51
1,3567164180861,52,5206483008385,25656,97,10253,83
1,3667910449519,52,8141045592915,25573,13,10317,51
1,3768656718178,53,1061845911482,25321,61,10444,87
1,3869402986836,53,3968624001456,25405,45,10158,31
1,3970149255495,53,6861121148243,26160,1,10221,99
1,4070895524153,53,9739079908305,26663,5,10126,47
1,4171641792812,54,2602244132078,26160,1,10094,63
1,427238806147,54,5450358986774,25992,33,10158,31
1,4373134330128,54,8283170979053,25992,33,10030,95
1,4473880598787,55,1100427977591,25824,65,9712,55
1,4574626867445,55,3901879235518,25824,65,10030,95
1,4675373136104,55,6687275412736,26160,1,9935,43
1,4776119404762,55,9456368598117,26243,85,10062,79
1,4876865673421,56,2208912331556,26411,53,10190,15
1,4977611942079,56,494466162592,26243,85,9553,35
1,5078358210737,56,766337298884,26327,69,9935,43
1,5179104479396,57,364804444396,26160,1,10030,95
1,5279850748054,57,3048715554644,26327,69,10030,95
1,5380597016713,57,5714867441019,26495,37,10190,15
1,5481343285371,57,8363022805596,27166,9,9839,91
1,558208955403,58,992945952211,26495,37,9553,35
1,5682835822688,58,360440280744,26579,21,9999,11
1,5783582091346,58,619716094143,26579,21,9712,55
1,5884328360005,58,8770989588587,26327,69,9712,55
1,5985074628663,59,1325659668114,26830,73,9680,71
1,6085820897322,59,3860943804403,26830,73,9648,87
1,618656716598,59,6376616347272,26746,89,9648,87
1,6287313434639,59,8872453392044,26830,73,9457,83
1,6388059703297,60,134823279948,26830,73,9585,19
1,6488805971955,60,380373421555,26746,89,9553,35
1,6589552240614,60,6238739091043,26830,73,9648,87
1,6690298509272,60,8653030701023,26830,73,9776,23
1,6791044777931,61,104639416411,25992,33,9362,31
1,6891791046589,61,3418616461617,26998,41,9298,63
1,6992537315248,61,5769486456498,26998,41,9553,35
1,7093283583906,61,8098794912149,26830,73,9457,83
1,7194029852564,62,406334511026,26579,21,9394,15
1,7294776121223,62,2691899873097,26914,57,9489,67
1,7395522389881,62,4955287574123,27333,77,9712,55
1,749626865854,62,7196296163766,26914,57,9362,31
1,7597014927198,62,9414726183514,26830,73,9425,99
1,7697761195856,63,1610380184436,27333,77,9521,51
1,7798507464515,63,3783062744756,26998,41,9394,15
1,7899253733173,63,5932580487245,26746,89,9362,31
1,8000000001832,63,8058742096435,26830,73,9234,95
1,810074627049,64,161358335644,26998,41,9553,35
1,8201492539149,64,224024206382,26914,57,9362,31
1,8302238807807,64,4295208252196,26746,89,9362,31
1,8402985076465,64,632607400076,27166,9,9043,91
1,8503731345124,64,8332658554535,26663,5,9266,79
1,8604477613782,65,314783319663,26998,41,9425,99
1,8705223882441,65,2272271879303,27166,9,9330,47
1,8805970151099,65,4204950009332,26663,5,9266,79
1,8906716419758,65,6112645693855,26663,5,9648,87
1,9007462688416,65,7995189140509,26914,57,9139,43
1,9108208957074,65,9852412795579,26411,53,8980,23
1,9208955225733,66,1684151358911,27669,13,9362,31
1,9309701494391,66,3490241798622,26830,73,9266,79
1,941044776305,66,5270523365615,26663,5,9171,27
1,9511194031708,66,7024837607881,26998,41,9394,15
1,9611940300367,66,8753028384606,26495,37,9394,15
1,9712686569025,67,454941880064,26327,69,9298,63
1,9813432837683,67,2130426617311,27920,65,9330,47
1,9914179106342,67,3779333471667,27669,13,9362,31
1,10014925375,67,5401515683986,26830,73,9234,95
1,10115671643659,67,6996828873718,27166,9,9234,95
1,10216417912317,67,8565131051763,26998,41,9043,91
1,10317164180976,68,106282633106,26998,41,9075,75
1,10417910449634,68,1620146449241,26746,89,9330,47
1,10518656718292,68,3106587760379,26830,73,8980,23
1,10619402986951,68,4565474267442,26914,57,9139,43
1,10720149255609,68,5996676123835,28004,49,9234,95
1,10820895524268,68,7400065947009,26495,37,9012,7
1,10921641792926,68,877551882979,26830,73,9234,95
1,11022388061585,69,122912351504,26830,73,9298,63
1,11123134330243,69,1442126588868,26579,21,9171,27
1,11223880598901,69,2733044126666,26663,5,9075,75
1,1132462686756,69,3995550068198,28004,49,9043,91
1,11425373136218,69,5229532045508,27417,61,9139,43
1,11526119404877,69,6434880229383,27082,25,9234,95
1,11626865673535,69,761148733913,26327,69,9234,95
1,11727611942193,69,8759248652124,27249,93,9266,79
1,11828358210852,69,9878062013128,26998,41,9234,95
1,1192910447951,70,967827843387,27082,25,9394,15
1,12029850748169,70,2028449149486,26998,41,9362,31
1,12130597016827,70,3059831531992,26830,73,9107,59
1,12231343285486,70,4061883193845,27333,77,8980,23
1,12332089554144,70,5034514948537,27166,9,8884,71
1,12432835822802,70,5977640228045,26998,41,9266,79
1,12533582091461,70,6891175090538,27082,25,9171,27
1,12634328360119,70,7775038227849,27082,25,9203,11
1,12735074628778,70,8629150972706,27082,25,8948,39
1,12835820897436,70,9453437305744,27585,29,9043,91
1,12936567166095,71,24782386226,26830,73,8948,39
1,13037313434753,71,101223993875,26914,57,9266,79
1,13138059703411,71,17466174992,26998,41,9171,27
1,1323880597207,71,2450891181141,27249,93,9171,27
1,13339552240728,71,3124998301466,27166,9,9107,59
1,13440298509387,71,376887886201,27166,9,9330,47
1,13541044778045,71,438247555489,27166,9,9075,75
1,13641791046704,71,4965733767606,27249,93,9043,91
1,13742537315362,71,55186015879,26746,89,8948,39
1,1384328358402,71,6041029808378,26495,37,8948,39
1,13944029852679,71,6532971930889,27082,25,9171,27
1,14044776121337,71,6994384170664,26998,41,9266,79
1,14145522389996,71,7425225460213,26579,21,8916,55
1,14246268658654,71,782545745298,27166,9,9107,59
1,14347014927313,71,8195044526755,27669,13,9075,75
1,14447761195971,71,8533953786846,26998,41,9075,75
1,14548507464629,71,8842155069005,26663,5,9043,91
1,14649253733288,71,9119620942116,27082,25,8916,55
1,14750000001946,71,9366326710633,26663,5,9043,91
1,14850746270605,71,958225041678,27082,25,9075,75
1,14951492539263,71,9767372842504,27082,25,9107,59
1,15052238807922,71,9921677511187,27082,25,9234,95
1,1515298507658,72,45150689111,27082,25,9234,95
1,15253731345238,72,137781386681,27166,9,8916,55
1,15354477613897,72,199561359403,26998,41,8821,3
1,15455223882555,72,230485108619,26914,57,9330,47
1,15555970151214,72,230549881994,27082,25,9075,75
1,15656716419872,72,199755673763,26914,57,9107,59
1,1575746268853,72,138105224732,27417,61,9107,59
1,15858208957189,72,4560402203,27166,9,9107,59
1,15958955225847,71,9922260298626,26998,41,9043,91
1,16059701494506,71,9768085032592,26830,73,9075,75
1,16160447763164,71,958309194613,27249,93,9107,59
1,16261194031823,71,9367297504345,27082,25,8916,55
1,16361940300481,71,9120720913785,26830,73,8980,23
1,16462686569139,71,884338412073,26998,41,9043,91
1,16563432837798,71,8535311809236,26830,73,8916,55
1,16664179106456,71,8196531398941,26579,21,9043,91
1,16764925375115,71,7827073042625,27249,93,8980,23
1,16865671643773,71,7426969623523,27166,9,8821,3
1,16966417912432,71,6996256752402,26998,41,9298,63
1,1706716418109,71,6534972764387,26830,73,9171,27
1,17167910449748,71,6043158715554,26830,73,9012,7
1,17268656718407,71,5520858379274,27501,45,8884,71
1,17369402987065,71,4968118242314,27752,97,8916,55
1,17470149255724,71,4384987500705,27249,93,8980,23
1,17570895524382,71,3771518055358,27166,9,9075,75
1,17671641793041,71,312776450745,27249,93,9075,75
1,17772388061699,71,2453784153557,27249,93,9043,91
1,17873134330357,71,1749636980562,27417,61,9075,75
1,17973880599016,71,1015385660312,27166,9,8884,71
1,18074626867674,71,251095544041,27417,61,8821,3
1,18175373136333,70,9456834656552,26830,73,8916,55
1,18276119404991,70,8632673690164,26160,1,8948,39
1,1837686567365,70,7778685998419,27752,97,8948,39
1,18477611942308,70,6894947589557,26830,73,9075,75
1,18578358210966,70,5981537119744,26579,21,8821,3
1,18679104479625,70,5038535886078,26411,53,8852,87
1,18779850748283,70,4066027819349,27166,9,8980,23
1,18880597016942,70,306409947657,27920,65,8789,19
1,189813432856,70,2032840033276,27417,61,8821,3
1,19082089554259,70,972341275582,27249,93,9012,7
1,19182835822917,69,9882697592016,27836,81,8916,55
1,19283582091575,69,876400596512,26830,73,9075,75
1,19384328360234,69,7616365962814,27166,9,9012,7
1,19485074628892,69,6439879729539,27082,25,8980,23
1,19585820897551,69,5234651977161,27333,77,9266,79
1,19686567166209,69,4000789975654,27249,93,8980,23
1,19787313434868,69,2738403543552,27249,93,9012,7
1,19888059703526,69,1447605038176,27752,97,8948,39
1,19988805972184,69,12850934563,27166,9,9266,79
1,20089552240843,68,8781233870581,26914,57,9139,43
1,20190298509501,68,7405898525802,25992,33,8948,39
1,2029104477816,68,6002625721509,27501,45,9234,95
1,20391791046818,68,4571540354459,27669,13,8948,39
1,20492537315476,68,3112769796834,27166,9,8948,39
1,20593283584135,68,1626443884909,27333,77,8852,87
1,20694029852793,68,11269490749,27082,25,8948,39
1,20794776121452,67,8571657594146,26914,57,8980,23
1,2089552239011,67,7003469103211,27166,9,8693,67
1,20996268658769,67,5408269009584,26663,5,9012,7
1,21097014927427,67,3786199292298,27333,77,9107,59
1,21197761196085,67,213740432189,27501,45,8980,23
1,21298507464744,67,462030847546,27333,77,8789,19
1,21399253733402,66,8760227984047,27836,81,8502,63
1,21500000002061,66,7032147198489,26914,57,9171,27
1,21600746270719,66,5277942296807,26746,89,9234,95
1,21701492539378,66,3497769410084,26663,5,8980,23
1,21802238808036,66,1691786980656,27333,77,9075,75
1,21902985076694,65,9860155748009,27669,13,8852,87
1,22003731345353,65,8003038734469,27166,9,9012,7
1,22104477614011,65,6120601230701,27166,9,8980,23
1,2220522388267,65,421301078099,26998,41,8789,19
1,22305970151328,65,2280437168332,26746,89,9171,27
1,22406716419987,65,323052399322,26663,5,9107,59
1,22507462688645,64,8341030688844,26830,73,8980,23
1,22608208957303,64,6334548444565,26914,57,9012,7
1,22708955225962,64,4303784251238,26914,57,8980,23
1,2280970149462,64,2248918854803,26998,41,8916,55
1,22910447763279,64,1701351463,26998,41,8852,87
1,23011194031937,63,8067618145593,27166,9,8980,23
1,23111940300596,63,5941554984901,27082,25,9425,99
1,23212686569254,63,3792134892145,27249,93,8884,71
1,23313432837912,63,1619549174102,27501,45,8852,87
1,23414179106571,62,9423991199381,27669,13,8884,71
1,23514925375229,62,7205656381211,27249,93,8916,55
1,23615671643888,62,4964742160051,26998,41,8916,55
1,23716417912546,62,2701447986011,26830,73,8852,87
1,23817164181204,62,415975301109,26746,89,9043,91
1,23917910449863,61,8108527521333,26579,21,8789,19
1,24018656718521,61,5779310018542,27082,25,8821,3
1,2411940298718,61,3428530102185,26830,73,8852,87
1,24220149255838,61,1056397000851,26998,41,8821,3
1,24320895524497,60,8663121843644,27249,93,8916,55
1,24421641793155,60,6248917641394,26830,73,8852,87
1,24522388061813,60,3813999267699,26998,41,8884,71
1,24623134330472,60,1358583439797,27082,25,8948,39
1,2472388059913,59,8882888699283,26746,89,8916,55
1,24824626867789,59,638713539265,26663,5,9075,75
1,24925373136447,59,3871545651684,27417,61,9043,91
1,25026119405106,59,133634337369,28004,49,8821,3
1,25126865673764,58,8781754201568,28004,49,8725,51
1,25227611942422,58,6208005503725,27166,9,8821,3
1,25328358211081,58,3615326353839,27166,9,8980,23
1,25429104479739,58,1003947510476,27417,61,8852,87
1,25529850748398,57,8374101396544,26914,57,8948,39
1,25630597017056,57,5726022078614,27082,25,8821,3
1,25731343285715,57,305994524608,27417,61,8948,39
1,25832089554373,57,376108190186,26914,57,8948,39
1,25932835823031,56,7674749782906,27082,25,8821,3
1,2603358209169,56,4956110455682,27249,93,8821,3
1,26134328360348,56,2220432178026,26914,57,9012,7
1,26235074629007,55,9467958435981,26998,41,9012,7
1,26335820897665,55,6698934210455,26830,73,8789,19
1,26436567166324,55,3913605955412,26830,73,8852,87
1,26537313434982,55,1112221575939,27669,13,8916,55
1,2663805970364,54,8295030406177,27082,25,8821,3
1,26738805972299,54,5462283187139,27166,9,8693,67
1,26839552240957,54,2614232044383,26914,57,8821,3
1,26940298509616,53,9751130465577,27501,45,8852,87
1,27041044778274,53,6873233277939,27166,9,8980,23
1,27141791046933,53,3980796625549,27249,93,8948,39
1,27242537315591,53,1074077946559,27082,25,9139,43
1,27343283584249,52,8153335950278,27249,93,8948,39
1,27444029852908,52,5218830594143,27166,9,9043,91
1,27544776121566,52,2270823060587,28088,33,8916,55
1,27645522390225,51,9309575733783,27333,77,8693,67
1,27746268658883,51,6335352176304,26998,41,9075,75
1,27847014927542,51,3348417105655,27333,77,9075,75
1,279477611962,51,349036370716,26579,21,8980,23
1,28048507464858,50,7337476928079,27082,25,8757,35
1,28149253733517,50,431400681829,28088,33,9139,43
1,28250000002175,50,1278895141989,27249,93,8789,19
1,28350746270834,49,8232412035962,27166,9,8948,39
1,28451492539492,49,5174828649097,27417,61,8789,19
1,2855223880815,49,2106417118249,26830,73,8916,55
1,28652985076809,48,9027450544021,26746,89,8757,35
1,28753731345467,48,5938202966456,26998,41,9203,11
1,28854477614126,48,2838949340646,27166,9,8884,71
1,28955223882784,47,9729965512263,27249,93,9012,7
1,29055970151443,47,6611528192998,27752,97,8980,23
1,29156716420101,47,3483914935948,26998,41,8725,51
1,29257462688759,47,347404110899,27082,25,8948,39
1,29358208957418,46,7202274879557,27166,9,9266,79
1,29458955226076,46,4048807170701,27082,25,8980,23
1,29559701494735,46,887281655263,27166,9,9266,79
1,29660447763393,45,7717979721355,27920,65,8916,55
1,29761194032052,45,4541183449221,27585,29,8948,39
1,2986194030071,45,1357175586127,27082,25,8852,87
1,29962686569368,44,8166239521201,27333,77,8884,71
1,30063432838027,44,4968659260208,27166,9,8852,87
1,30164179106685,44,1764719400271,27166,9,8884,71
1,30264925375344,43,8554705104545,27166,9,9139,43
1,30365671644002,43,5338902076829,27249,93,8789,19
1,30466417912661,43,2117596536147,26663,5,8884,71
1,30567164181319,42,8891075191263,27752,97,8884,71
1,30667910449977,42,5659625215172,27082,25,8948,39
1,30768656718636,42,2423534219534,27166,9,8821,3
1,30869402987294,41,918309022908,27249,93,9075,75
1,30970149255953,41,5938581655972,27166,9,9203,11
1,31070895524611,41,2690297274136,26998,41,9043,91
1,3117164179327,40,9438526193563,27333,77,8821,3
1,31272388061928,40,6183557834569,27752,97,9139,43
1,31373134330586,40,2925681902045,27669,13,9012,7
1,31473880599245,39,9665188359664,27501,45,9012,7
1,31574626867903,39,6402367404077,27249,93,8980,23
1,31675373136562,39,3137509439085,27669,13,8948,39
1,3177611940522,38,987090504979,27166,9,8821,3
1,31876865673879,38,6602844976733,27166,9,8916,55
1,31977611942537,38,3333620090016,26998,41,8980,23
1,32078358211195,38,63521363415,26830,73,9012,7
1,32179104479854,37,679283984848,27249,93,9075,75
1,32279850748512,37,3521866648632,27249,93,9012,7
1,32380597017171,37,250892893252,27249,93,8821,3
1,32481343285829,36,6980209711773,27249,93,8789,19
1,32582089554487,36,3710108207764,26998,41,9171,27
1,32682835823146,36,440879433022,26830,73,8948,39
1,32783582091804,35,7172814361669,27166,9,9107,59
1,32884328360463,35,3906203864251,27836,81,9107,59
1,32985074629121,35,641338681853,27669,13,9012,7
1,3308582089778,34,737850940022,27585,29,9234,95
1,33186567166438,34,4118006423893,27417,61,9012,7
1,33287313435096,34,860119950365,26914,57,9012,7
1,33388059703755,33,7605139944245,27082,25,8948,39
1,33488805972413,33,4353356111462,26914,57,8852,87
1,33589552241072,33,1105057873466,26830,73,9107,59
1,3369029850973,32,7860534341481,27920,65,9012,7
1,33791044778389,32,4620074290764,27501,45,9012,7
1,33891791047047,32,1383966134909,27166,9,8821,3
1,33992537315705,31,8152497900172,27333,77,8948,39
1,34093283584364,31,4925957199839,27417,61,9139,43
1,34194029853022,31,1704631208627,26914,57,9012,7
1,34294776121681,30,8488806637122,27501,45,8884,71
1,34395522390339,30,5278769706262,27249,93,8980,23
1,34496268658998,30,2074806121864,27585,29,8916,55
1,34597014927656,29,8877201049194,26998,41,8948,39
1,34697761196314,29,5686239087581,26998,41,9075,75
1,34798507464973,29,2502204245097,27417,61,9107,59
1,34899253733631,28,9325379913271,26495,37,9362,31
1,3500000000229,28,6156048841867,27417,61,8980,23
1,35100746270948,28,2994493113722,27082,25,8980,23
1,35201492539607,27,9840994119634,27501,45,8725,51
1,35302238808265,27,6695832533325,27082,25,8884,71
1,35402985076923,27,3559288286449,27166,9,9012,7
1,35503731345582,27,431640543689,27501,45,9139,43
1,3560447761424,26,7313167677901,27417,61,8916,55
1,35705223882899,26,4204147245343,27166,9,9012,7
1,35805970151557,26,1104855960967,27166,9,9234,95
1,35906716420216,25,8015569673795,26495,37,8884,71
1,36007462688874,25,4936563342365,27082,25,8948,39
1,36108208957532,25,1868111010257,27669,13,9043,91
1,36208955226191,24,8810485781707,27501,45,8980,23
1,36309701494849,24,5763959797295,26914,57,8980,23
1,36410447763508,24,2728804209723,27166,9,8821,3
1,36511194032166,23,9705289159687,26998,41,9139,43
1,36611940300825,23,6693683751826,27333,77,9107,59
1,36712686569483,23,3694256030778,26830,73,9043,91
1,36813432838141,23,707272957315,27333,77,9075,75
1,369141791068,22,7733000384591,27333,77,9171,27
1,37014925375458,22,4771703034474,27417,61,9171,27
1,37115671644117,22,1823644473987,27333,77,9139,43
1,37216417912775,21,8889087091848,27669,13,9012,7
1,37317164181433,21,5968292075117,26830,73,9075,75
1,37417910450092,21,3061519385953,26998,41,9107,59
1,3751865671875,21,16902773847,26998,41,9075,75
1,37619402987409,20,7291074575715,27249,93,9139,43
1,37720149256067,20,4427916046752,27836,81,9012,7
1,37820895524726,20,1579806983866,27333,77,8980,23
1,37921641793384,19,8747000879881,26914,57,8789,19
1,38022388062042,19,5929749865595,27166,9,9075,75
1,38123134330701,19,3128304687346,27501,45,8980,23
1,38223880599359,19,342914684689,27082,25,8948,39
1,38324626868018,18,7573827768208,27333,77,8948,39
1,38425373136676,18,4821290397443,26998,41,9043,91
1,38526119405335,18,2085547558967,27082,25,9075,75
1,38626865673993,17,936684274457,27333,77,9012,7
1,38727611942651,17,6665417929591,27501,45,8916,55
1,3882835821131,17,3981513551383,27417,61,9075,75
1,38929104479968,17,1315368487912,27501,45,9171,27
1,39029850748627,16,8667220036496,26914,57,9234,95
1,39130597017285,16,6037303892681,26663,5,9043,91
1,39231343285944,16,342585412927,27082,25,9139,43
1,39332089554602,16,833103175485,27752,97,9107,59
1,3943283582326,15,8259281796281,26663,5,9107,59
1,39533582091919,15,5704619071807,27501,45,9171,27
1,39634328360577,15,3169342377016,27333,77,9107,59
1,39735074629236,15,653677361431,26998,41,9203,11
1,39835820897894,14,8157847929055,27249,93,8948,39
1,39936567166553,14,5682076218451,27417,61,9075,75
1,40037313435211,14,3226582582965,27333,77,8980,23
1,40138059703869,14,791585571113,27417,61,8948,39
1,40238805972528,13,8377301907135,27501,45,9107,59
1,40339552241186,13,5983946471699,26998,41,9107,59
1,40440298509845,13,3611732282782,27249,93,8980,23
1,40541044778503,13,1260870476705,26998,41,9394,15
1,40641791047162,12,8931570289345,26998,41,9203,11
1,4074253731582,12,662403903751,26914,57,9203,11
1,40843283584478,12,4338482100488,27249,93,9107,59
1,40944029853137,12,2075102901768,27585,29,9171,27
1,41044776121795,11,9834102890933,26914,57,9489,67
1,41145522390454,11,761568152573,27082,25,9234,95
1,41246268659112,11,542003625432,27249,93,9266,79
1,4134701492777,11,3247362497703,28172,17,9139,43
1,41447761196429,11,1097853632323,27417,61,9203,11
1,41548507465087,10,8971700972858,27333,77,9139,43
1,41649253733746,10,6869093755195,27082,25,9043,91
1,41750000002404,10,4790219119582,26998,41,9203,11
1,41850746271063,10,2735262093977,26914,57,9298,63
1,41951492539721,10,704405577575,26998,41,9075,75
1,42052238808379,9,86978303245334,26998,41,9234,95
1,42152985077038,9,67157149278819,27082,25,9266,79
1,42253731345696,9,47582358036267,26579,21,9107,59
1,42354477614355,9,28255671750509,26579,21,9139,43
1,42455223883013,9,9178810572055,27417,61,9075,75
1,42555970151672,8,90353472416015,27752,97,9298,63
1,4265671642033,8,71781332810958,26998,41,9234,95
1,42757462688988,8,53464044749805,26746,89,9330,47
1,42858208957647,8,35403238542684,27417,61,9330,47
1,42958955226305,8,17600521671845,27166,9,9330,47
1,43059701494964,8,57478648579,26663,5,9171,27
1,43160447763622,7,82775670872183,26998,41,9203,11
1,43261194032281,7,65756636491009,27166,9,9298,63
1,43361940300939,7,4900189026554,27249,93,9266,79
1,43462686569597,7,32512923433592,27333,77,9234,95
1,43563432838256,7,16291203577567,27249,93,9075,75
1,43664179106914,7,338174493851,27166,9,9203,11
1,43764925375573,6,84655256064304,26998,41,9362,31
1,43865671644231,6,69243844129872,26914,57,9234,95
1,4396641791289,6,54105310366378,26998,41,9139,43
1,44067164181548,6,39241002162409,27501,45,9234,95
1,44167910450206,6,24652242499419,27501,45,9298,63
1,44268656718865,6,10340329833956,27333,77,9234,95
1,44369402987523,5,9630653798211,27082,25,9394,15
1,44470149256182,5,82552116006136,26998,41,9234,95
1,4457089552484,5,69078288103271,26998,41,9457,83
1,44671641793499,5,55886253496793,27166,9,9298,63
1,44772388062157,5,42977186329269,27333,77,9298,63
1,44873134330815,5,30352235558068,27166,9,9012,7
1,44973880599474,5,18012524853081,27249,93,9298,63
1,45074626868132,5,5959152496728,27166,9,9425,99
1,45175373136791,4,94193191286197,27082,25,9330,47
1,45276119405449,4,82715688437956,26914,57,9425,99
1,45376865674107,4,71527665494561,26830,73,9553,35
1,45477611942766,4,60630118233719,26663,5,9362,31
1,45578358211424,4,50024016579676,27166,9,9394,15
1,45679104480083,4,39710304516872,27585,29,9362,31
1,45779850748741,4,29689900005939,27082,25,9362,31
1,458805970174,4,19963694901992,26243,85,9585,19
1,45981343286058,4,10532554875245,27082,25,9234,95
1,46082089554716,4,1397319333976,26998,41,9362,31
1,46182835823375,3,92558801349799,27501,45,9457,83
1,46283582092033,3,84017787585318,26663,5,9425,99
1,46384328360692,3,75775038224091,26998,41,9425,99
1,4648507462935,3,67831286902986,27166,9,9394,15
1,46585820898009,3,60187240646879,27417,61,9394,15
1,46686567166667,3,52843579805718,27249,93,9457,83
1,46787313435325,3,45800957993987,26998,41,9425,99
1,46888059703984,3,3906000203251,26914,57,9903,59
1,46988805972642,3,32621311892684,26914,57,9712,55
1,47089552241301,3,26485460643059,26076,17,9425,99
1,47190298509959,3,20652994398348,26914,57,9839,91
1,47291044778618,3,1512443227081,26998,41,9617,3
1,47391791047276,3,9900266324054,26830,73,9457,83
1,47492537315934,3,4980961529242,27836,81,9553,35
1,47593283584593,3,366955723698,26998,41,9585,19
1,47694029853251,2,96058659571952,26663,5,9330,47
1,4779477612191,2,92056456529175,26746,89,9648,87
1,47895522390568,2,8836070280706,26998,41,9776,23
1,47996268659227,2,84971727342113,26998,41,9521,51
1,48097014927885,2,81889831766379,26830,73,9712,55
1,48197761196543,2,79115290380592,27082,25,9585,19
1,48298507465202,2,76648350129766,26830,73,9362,31
1,4839925373386,2,74489230581213,26830,73,9489,67
1,48500000002519,2,72638123904998,26830,73,9521,51
1,48600746271177,2,71095194856842,26830,73,9903,59
1,48701492539836,2,69860580763453,26579,21,9967,27
1,48802238808494,2,68934391510302,27166,9,9680,71
1,48902985077152,2,6831670953185,27669,13,9585,19
1,49003731345811,2,68007589804203,27585,29,9903,59
1,49104477614469,2,68007059840224,27249,93,9744,39
1,49205223883128,2,68315119687081,27249,93,9680,71
1,49305970151786,2,68931741926245,27166,9,9712,55
1,49406716420444,2,69856871675931,27082,25,9839,91
1,49507462689103,2,71090426595979,26998,41,9585,19
1,49608208957761,2,72632296895188,26746,89,9967,27
1,4970895522642,2,74482345341082,26495,37,9744,39
1,49809701495078,2,76640407272128,27082,25,9648,87
1,49910447763737,2,79106290612392,26998,41,9776,23
1,50011194032395,2,8187977588863,26663,5,9680,71
1,50111940301053,2,8496061624983,26411,53,10126,47
1,50212686569712,2,88348537489172,26579,21,9967,27
1,5031343283837,2,92043238068443,25992,33,9839,91
1,50414179107029,2,96044389144871,27333,77,9839,91
1,50514925375687,3,351634600392,26663,5,9999,11
1,50615671644346,3,4964591073349,26663,5,9967,27
1,50716417913004,3,988284799261,26830,73,9999,11
1,50817164181662,3,15105967614114,26998,41,9808,7
1,50917910450321,3,20633485059827,26663,5,9871,75
1,51018656718979,3,2646490835912,26579,21,10126,47
1,51119402987638,3,3259971849256,26830,73,10190,15
1,51220149256296,3,39037369438099,26663,5,10190,15
1,51320895524955,3,45777288219677,26495,37,10094,63
1,51421641793613,3,52818874958213,26495,37,10126,47
1,51522388062271,3,60161502925005,26663,5,9839,91
1,5162313433093,3,67804518597503,26495,37,10030,95
1,51723880599588,3,75747241717479,26579,21,10221,99
1,51824626868247,3,83988965351577,25824,65,10221,99
1,51925373136905,3,9252895595422,26160,1,10349,35
1,52026119405564,4,1366453432915,26327,69,10253,83
1,52126865674222,4,1050067121589,26663,5,10190,15
1,5222761194288,4,19930796322111,25740,81,10158,31
1,52328358211539,4,29655989433635,25489,29,10094,63
1,52429104480197,4,39675384970317,25573,13,10190,15
1,52529850748856,4,49988091166846,25656,97,10190,15
1,52630597017514,4,60593190152117,25405,45,10094,63
1,52731343286173,4,7148973803093,25153,93,10381,19
1,52832089554831,4,82676764967988,25824,65,10190,15
1,52932835823489,4,94153275274234,25740,81,10158,31
1,53033582092148,5,591824749545,25740,81,10221,99
1,53134328360806,5,17970634503193,25573,13,10221,99
1,53235074629465,5,30309363587974,25573,13,10476,71
1,53335820898123,5,42933336554743,25656,97,10444,87
1,53436567166781,5,55841429820635,25405,45,10221,99
1,5353731343544,5,69032494514963,25824,65,10317,51
1,53638059704098,5,82505356581486,25656,97,10349,35
1,53738805972757,5,9625881688289,25573,13,10253,83
1,53839552241415,6,1029165130753,25573,13,10190,15
1,53940298510074,6,24602610878366,25573,13,10476,71
1,54041044778732,6,39190421864137,25740,81,10413,3
1,5414179104739,6,5405378589273,25992,33,10540,39
1,54242537316049,6,69191380066728,25405,45,10508,55
1,54343283584707,6,8460185708117,24818,57,10381,19
1,54444029853366,7,283845343445,25405,45,10381,19
1,54544776122024,7,16235949095396,25489,29,10381,19
1,54645522390683,7,3245674853752,25656,97,10381,19
1,54746268659341,7,48944799955352,25489,29,10349,35
1,54847014927999,7,65698635847966,26160,1,10413,3
1,54947761196658,7,82716765058569,25740,81,10190,15
1,55048507465316,7,9999767290724,26076,17,10317,51
1,55149253733975,8,17539821325726,25992,33,10444,87
1,55250000002633,8,35341648994354,25992,33,10413,3
1,55350746271292,8,53401571480973,25489,29,10381,19
1,5545149253995,8,71717981381988,25321,61,10476,71
